Start,End,A/C,A/C S/N,Position,AC-Type,Part Number,Part Description,S/N,PSN,APU Cycle Start,APU Cycle End,APU Cycle Diff,APU Hours Start,APU Hours End,APU Hours Diff
2023-05-01,2023-05-31,PWA,3809,APU,32S,3800708-1,APU,R-2486,1902,39468,39560,92,38184,38274,90
2023-06-01,2023-06-30,PWA,3809,APU,32S,3800708-1,APU,R-2486,1902,39560,39763,203,38274,38501,227
2023-07-01,2023-07-31,PWA,3809,APU,32S,3800708-1,APU,R-2486,1902,39763,39929,166,38501,38699,198
2023-05-01,2023-05-31,PWC,5463,APU,32S,3800708-1,APU,P-5340,1149,21268,21458,190,16199,16409,210
2023-06-01,2023-06-30,PWC,5463,APU,32S,3800708-1,APU,P-5340,1149,21458,21650,192,16409,16620,211
2023-07-01,2023-07-31,PWC,5463,APU,32S,3800708-1,APU,P-5340,1149,21650,21826,176,16620,16823,203
2023-05-01,2023-05-31,PWD,5552,APU,32S,3800708-1,APU,P-5424,1323,22136,22318,182,16606,16802,196
2023-06-01,2023-06-30,PWD,5552,APU,32S,3800708-1,APU,P-5424,1323,22318,22538,220,16802,17052,250
2023-07-01,2023-07-31,PWD,5552,APU,32S,3800708-1,APU,P-5424,1323,22538,22722,184,17052,17276,224
2023-05-01,2023-05-31,PWE,3398,APU,32S,3800708-1,APU,P-4556,4781,26139,26323,184,28006,28228,222
2023-06-01,2023-06-30,PWE,3398,APU,32S,3800708-1,APU,P-4556,4781,26323,26510,187,28228,28463,235
2023-07-01,2023-07-31,PWE,3398,APU,32S,3800708-1,APU,P-4556,4781,26510,26674,164,28463,28649,186
2023-05-01,2023-05-31,PWF,5902,APU,32S,3800708-1,APU,P-5692,14731,20145,20145,0,10247,10247,0
2023-06-01,2023-06-30,PWF,5902,APU,32S,3800708-1,APU,P-5692,14731,20145,20194,49,10247,10284,37
2023-07-01,2023-07-03,PWF,5902,APU,32S,3800708-1,APU,P-5692,14731,20194,20207,13,10284,10304,20
2023-07-18,2023-07-31,PWF,5902,APU,32S,3800708-1,APU,P-4998,8903,21966,22019,53,9610,9665,55
2023-05-01,2023-05-31,PWG,4366,4005KM,32S,3800708-1,APU,P-4998,8903,21835,21960,125,9468,9607,139
2023-06-01,2023-06-30,PWG,4366,4005KM,32S,3800708-1,APU,P-4998,8903,21960,21960,0,9607,9607,0
2023-07-01,2023-07-04,PWG,4366,4005KM,32S,3800708-1,APU,P-4998,8903,21960,21960,0,9607,9607,0
2023-07-04,2023-07-31,PWG,4366,APU,32S,3800708-1,APU,P-5692,14731,20207,20352,145,10304,10453,149
2023-05-01,2023-05-31,PWH,3626,APU,32S,3800708-1,APU,R-2461,10874,36389,36543,154,25645,25810,165
2023-06-01,2023-06-30,PWH,3626,APU,32S,3800708-1,APU,R-2461,10874,36543,36686,143,25810,26127,317
2023-07-01,2023-07-31,PWH,3626,APU,32S,3800708-1,APU,R-2461,10874,36686,36880,194,26127,26337,210
