A/C Group,Start,End,MEL Code,MEL W/Os,Usage %
Own Configuration,2023-04-01,2023-04-30,C,13,62.30769231
Own Configuration,2023-05-01,2023-05-31,B,0,0
Own Configuration,2023-04-01,2023-04-30,D,3,5.555555556
Own Configuration,2023-05-01,2023-05-31,C,17,42.94117647
Own Configuration,2023-05-01,2023-05-31,D,3,17.5
Own Configuration,2022-11-01,2022-11-30,D,3,2.222222222
Own Configuration,2022-12-01,2022-12-31,C,5,36
Own Configuration,2023-01-01,2023-01-31,B,0,0
Own Configuration,2022-12-01,2022-12-31,D,5,31.66666667
Own Configuration,2023-01-01,2023-01-31,C,8,63.75
Own Configuration,2023-01-01,2023-01-31,D,4,40
Own Configuration,2023-04-01,2023-04-30,B,0,0
Own Configuration,2022-09-01,2022-09-30,B,0,0
Own Configuration,2022-09-01,2022-09-30,C,10,31
Own Configuration,2022-10-01,2022-10-31,B,0,0
Own Configuration,2022-09-01,2022-09-30,D,3,0.555555556
Own Configuration,2022-10-01,2022-10-31,C,11,51.81818182
Own Configuration,2022-10-01,2022-10-31,D,6,15.69444444
Own Configuration,2023-06-01,2023-06-30,B,2,16.66666667
Own Configuration,2023-06-01,2023-06-30,C,20,34.5
Own Configuration,2023-07-01,2023-07-31,B,0,0
Own Configuration,2023-06-01,2023-06-30,D,8,14.58333333
Own Configuration,2023-07-01,2023-07-31,C,17,51.76470588
Own Configuration,2023-07-01,2023-07-31,D,8,11.35416667
Own Configuration,2023-02-01,2023-02-28,B,0,0
Own Configuration,2023-02-01,2023-02-28,C,7,42.85714286
Own Configuration,2023-03-01,2023-03-31,B,0,0
Own Configuration,2023-02-01,2023-02-28,D,3,4.444444444
Own Configuration,2023-03-01,2023-03-31,C,12,30
Own Configuration,2023-03-01,2023-03-31,D,2,1.666666667
Own Configuration,2022-08-01,2022-08-31,B,0,0
Own Configuration,2022-08-01,2022-08-31,C,8,33.75
Own Configuration,2022-08-01,2022-08-31,D,7,12.38095238
Own Configuration,2022-11-01,2022-11-30,B,0,0
Own Configuration,2022-11-01,2022-11-30,C,6,45
Own Configuration,2022-12-01,2022-12-31,B,0,0
