A/C Group,Start,End,W/O,A/C,Issue Date,Due Date,Closing Date,ATA,DD,MEL,MEL Ref.,Description,Action
Own Configuration,2022-08-01,2023-07-31,48523,PWE,2023-05-23,,2023-05-23,NAN,0,0,,"1 WORKSTEP ADDED BY ATV ON 23.MAY.2023, 21:30 TO PERFORM BD CHECK DESCRIPTION SIGN ATV","ACTION PERFORMED BY ATV ON 23.MAY.2023, 21:30 BD CHECK PERFORMED REF FORM.F.MNT.E.102 PERFORMED SIGN ATV"
Own Configuration,2022-08-01,2023-07-31,48524,PWE,2023-05-24,,2023-05-24,NAN,0,0,,"1 WORKSTEP ADDED BY RRNU ON 24.MAY.2023, 12:20 TO PERFORM DAILY CHECK DESCRIPTION SIGN RRNU","ACTION PERFORMED BY RRNU ON 24.MAY.2023, 12:20 DAILY CHECK PERFORMED REF.FORM.F.MNT.E.104 (2-02) PERFORMED SIGN RRNU"
Own Configuration,2022-08-01,2023-07-31,48525,PWE,2023-05-24,,2023-05-24,NAN,0,0,,"1 WORKSTEP ADDED BY TONI ON 24.MAY.2023, 21:30 TO PERFORM BD CHECK DESCRIPTION SIGN TONI","ACTION PERFORMED BY TONI ON 24.MAY.2023, 21:30 BD CHECK PERFORMED REF FORM.F.MNT.E.102 (2-02) PERFORMED SIGN TONI"
Own Configuration,2022-08-01,2023-07-31,48527,PWE,2023-05-25,,2023-05-25,05,0,0,,"1 WORKSTEP ADDED BY AFN ON 25.MAY.2023, 03:40 BIRD INSIDE THE COCKPIT LAST SEEN BEHIND FO RUDDER PEDALS DESCRIPTION SIGN AFN","ACTION PERFORMED BY AFN ON 25.MAY.2023, 03:40 THE BIRD HAS BEEN CATCHED DO GV1 AROUND COCKPIT FOUND NO ABNORMALITY REF AMM 05-22-10-200-001"
Own Configuration,2022-08-01,2023-07-31,48528,PWA,2023-05-19,,2023-05-19,36,0,0,,"1 WORKSTEP ADDED BY MAUL ON 19.MAY.2023, 11:50 AIR L WING LEAK DESCRIPTION SIGN MAUL","ACTION PERFORMED BY MAUL ON 19.MAY.2023, 11:51 DO BITE TEST BMC #1 AND BMC #2 RESULT ELECTRICAL TEST OK REF AMM TASK 36-11-00-740-001-A (MSG DISAPPEAR)"
Own Configuration,2022-08-01,2023-07-31,48529,PWE,2023-05-25,,2023-05-25,NAN,0,0,,"1 WORKSTEP ADDED BY DSBU ON 25.MAY.2023, 16:20 TO PERFORM WEEKLY CHECK DESCRIPTION SIGN DSBU","ACTION PERFORMED BY DSBU ON 25.MAY.2023, 16:20 WEEKLY CHECK PERFORMED REF.FORM.F.MNT.E.105 TYPE PRESS N/W : 185/185"
Own Configuration,2022-08-01,2023-07-31,48530,PWE,2023-05-25,,2023-05-25,NAN,0,0,,"1 WORKSTEP ADDED BY AGP ON 25.MAY.2023, 22:00 TO PERFORM BD CHECK DESCRIPTION SIGN AGP","ACTION PERFORMED BY AGP ON 25.MAY.2023, 22:00 BD CHECK PERFORMED REF FORM.F.MNT.E.102 (2--02) PERFORMED SIGN AGP"
Own Configuration,2022-08-01,2023-07-31,48531,PWA,2023-05-19,,2023-05-19,49,0,0,,"1 WORKSTEP ADDED BY MAUL ON 19.MAY.2023, 12:05 AIR APU BLEED FAULT DESCRIPTION SIGN MAUL","ACTION PERFORMED BY MAUL ON 19.MAY.2023, 12:05 DO CHECK LAST LEG REPORT NO FAULT DETECTED RECYCLE P/BSWITCH OPC TEST OF THE APU BLEED SYSTEM RESULT GOOD REF AMM TASK 49-51-51-740-054-A"
Own Configuration,2022-08-01,2023-07-31,48532,PWE,2023-05-26,,2023-05-26,NAN,0,0,,"1 WORKSTEP ADDED BY AFN ON 26.MAY.2023, 12:30 TO PERFORM DAILY CHECK DESCRIPTION SIGN AFN","ACTION PERFORMED BY AFN ON 26.MAY.2023, 12:30 DAILY CHECK PERFORMED REF.FORM.F.MNT.E.104 PERFORMED SIGN AFN"
Own Configuration,2022-08-01,2023-07-31,48533,PWE,2023-05-27,,2023-05-27,NAN,0,0,,"1 WORKSTEP ADDED BY RAGP ON 27.MAY.2023, 03:40 TO PERFORM BD CHECK DESCRIPTION SIGN RAGP","ACTION PERFORMED BY RAGP ON 27.MAY.2023, 03:40 BD CHECK PERFORMED REF FORM.F.MNT.E.102 PERFORMED SIGN RAGP"
Own Configuration,2022-08-01,2023-07-31,48537,PWA,2023-05-19,,2023-05-19,NAN,0,0,,"1 WORKSTEP ADDED BY MAUL ON 19.MAY.2023, 12:05 TO PERFORM 24HR CHECK DESCRIPTION SIGN MAUL","ACTION PERFORMED BY MAUL ON 19.MAY.2023, 12:05 24HR CHECK PERFORMED  REF.FORM.F.MNT.E.103.(2-02) PERFORMED SIGN MAUL"
Own Configuration,2022-08-01,2023-07-31,48541,PWA,2023-05-19,,2023-05-19,NAN,0,0,,"1 WORKSTEP ADDED BY YJPP ON 19.MAY.2023, 22:20 TO PERFORM BD CHECK DESCRIPTION SIGN YJPP","ACTION PERFORMED BY YJPP ON 19.MAY.2023, 22:20 BD CHECK PERFORMED  REF.FORM.F.MNT.E.102 PERFORMED SIGN YJPP"
Own Configuration,2022-08-01,2023-07-31,48543,PWA,2023-05-20,,2023-05-20,36,0,0,,"1 WORKSTEP ADDED BY THFE ON 20.MAY.2023, 02:15 L WING LEAK DURING FLIGHT DESCRIPTION SIGN THFE","ACTION PERFORMED BY THFE ON 20.MAY.2023, 02:15 REF TSM TASK 36-22-00-810-810 A CHECK PFR FAILURE MSG NO FOUND RELATED MESSAGES.FOR CONFIRMATION DO OERATIONAL TEST BMC #1 AND RESET RELATED"
Own Configuration,2022-08-01,2023-07-31,48544,PWA,2023-05-20,,2023-05-20,36,0,0,,"1 WORKSTEP ADDED BY FRED ON 20.MAY.2023, 12:00 AIR L WING LEAK DURING CLIMB (REPETITIVE) DESCRIPTION SIGN FRED","ACTION PERFORMED BY FRED ON 20.MAY.2023, 12:00 REF TSM 36-22-00-810-801-A.DO FUNC TEST OF THE ENG BLEED AIR SUPPLY SYSTEM REF AMM 36-11-00-720-004 FOUND LEAK AT SEAL BETWEEN FCV 1 AND"
Own Configuration,2022-08-01,2023-07-31,48545,PWA,2023-05-20,,2023-05-20,NAN,0,0,,"1 WORKSTEP ADDED BY RHAL ON 20.MAY.2023, 13:00 TO PERFORM DAILY CHECK DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 20.MAY.2023, 13:00 DAILY CHECK PERFORMED REF.FORM.F.MNT.E.104.(2-02) PERFORMED SIGN RHAL"
Own Configuration,2022-08-01,2023-07-31,48546,PWA,2023-05-20,,2023-05-20,NAN,0,0,,"1 WORKSTEP ADDED BY ZUFI ON 20.MAY.2023, 21:00 TO PERFORM BD CHECK DESCRIPTION SIGN ZUFI","ACTION PERFORMED BY ZUFI ON 20.MAY.2023, 21:00 BD CHECK PERFORMED REF.FORM.F.MNT.E.102 PERFORMED SIGN ZUFI"
