Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2022-02-01,2023-01-31,1-002-0102-1830,INVERTER,25,28264,2,0.070761393,0.068612111,0,0,0,0,0,2,100,14132,14132,100,14049,,,,,
Own Configuration,2022-03-01,2023-02-28,1-002-0102-1830,INVERTER,25,28505,2,0.070163129,0.0911965,0,0,0,0,0,2,100,14253,13957.93249,102.110395,14049,,,,,
Own Configuration,2022-04-01,2023-03-31,1-002-0102-1830,INVERTER,25,28752,2,0.069560378,0.104805679,0,0,0,0,0,2,100,14376,13917.99155,103.2907654,14049,,,,,
Own Configuration,2022-05-01,2023-04-30,1-002-0102-1830,INVERTER,25,2147,2,0.931532371,0.824560569,0,0,0,0,0,2,100,1074,0,,14049,,,,,
Own Configuration,2022-06-01,2023-05-31,1-002-0102-1830,INVERTER,25,2337,2,0.855798032,1.105412394,0,0,0,0,0,2,100,1169,0,,14049,,,,,
Own Configuration,2022-07-01,2023-06-30,1-002-0102-1830,INVERTER,25,2539,2,0.787711698,1.277260304,0,0,0,0,0,2,100,1270,0,,14049,,,,,
Own Configuration,2022-08-01,2023-07-31,1-002-0102-1830,INVERTER,25,2653,2,0.753863551,1.394877657,0,0,0,0,0,2,100,1327,0,,14049,,,,,
Own Configuration,2022-07-01,2023-06-30,1211313-010,VSV ACTUATOR,75-32,7587,1,0.131804402,0.165232286,0,0,0,0,1,0,0,7587,7107.869445,106.7408463,2045,,,,1,1
Own Configuration,2022-06-01,2023-05-31,1211313-010,VSV ACTUATOR,75-32,7391,1,0.135299689,0.118683528,0,0,0,0,1,0,0,7391,7391,100,2045,,,,1,1
Own Configuration,2022-08-01,2023-07-31,1211313-010,VSV ACTUATOR,75-32,7468,1,0.13390466,0.199679643,0,0,0,0,1,0,0,7468,7210.445332,103.5719662,2045,,,,1,1
Own Configuration,2022-07-01,2023-06-30,1320A0000-01,VALVE,21,114965,1,0.008698299,0.016159807,1,0.008698299,1,0,0,0,0,114965,101503.3972,113.262219,4,114965,101503.3972,113.262219,0,0
Own Configuration,2022-06-01,2023-05-31,1320A0000-01,VALVE,21,114130,1,0.008761938,0.015159199,1,0.008761938,1,0,0,0,0,114130,101997.5704,111.8948221,4,114130,101997.5704,111.8948221,0,0
Own Configuration,2022-08-01,2023-07-31,1320A0000-01,VALVE,21,59012,1,0.016945706,0.020670221,1,0.016945706,1,0,0,0,0,59012,45540.79563,129.5805205,4,59012,45540.79563,129.5805205,0,0
Own Configuration,2022-03-01,2023-02-28,1320A0000-01,VALVE,21,126565,1,0.007901078,0.010246418,1,0.007901078,1,0,0,0,0,126565,125332.95,100.9830216,4,126565,125332.95,100.9830216,0,0
Own Configuration,2022-02-01,2023-01-31,1320A0000-01,VALVE,21,126061,1,0.007932668,0.007691724,1,0.007932668,1,0,0,0,0,126061,126061,100,4,126061,126061,100,0,0
Own Configuration,2022-05-01,2023-04-30,1320A0000-01,VALVE,21,113326,1,0.0088241,0.013737281,1,0.0088241,1,0,0,0,0,113326,104971.3098,107.9590225,4,113326,104971.3098,107.9590225,0,0
Own Configuration,2022-04-01,2023-03-31,1320A0000-01,VALVE,21,127228,1,0.007859905,0.011797433,1,0.007859905,1,0,0,0,0,127228,125008.4182,101.7755459,4,127228,125008.4182,101.7755459,0,0
Own Configuration,2022-08-01,2023-07-31,14330-004C2,TOILET,38,556,1,1.798561151,2.922661871,0,0,0,0,0,1,100,556,556,100,16,,,,,
Own Configuration,2022-08-01,2023-07-31,14C22L215460009,CONTAINR,35,856795,4,0.004668561,1.791722539,0,0,0,0,0,4,100,214199,0,,456,,,,,
Own Configuration,2022-05-01,2023-04-30,14C22L215460009,CONTAINR,35,8177,4,0.48917696,1.914635501,0,0,0,0,0,4,100,2044,0,,456,,,,,
Own Configuration,2022-06-01,2023-05-31,14C22L215460009,CONTAINR,35,9231,4,0.4333225,1.837102155,0,0,0,0,0,4,100,2308,0,,456,,,,,
Own Configuration,2022-07-01,2023-06-30,14C22L215460009,CONTAINR,35,855361,4,0.004676388,1.792427336,0,0,0,0,0,4,100,213840,0,,456,,,,,
Own Configuration,2022-03-01,2023-02-28,14C22L215460009,CONTAINR,35,5870,4,0.681431005,2.096624903,0,0,0,0,0,4,100,1468,146.6187666,1000.895066,456,,,,,
Own Configuration,2022-04-01,2023-03-31,14C22L215460009,CONTAINR,35,7095,4,0.563777308,2.001801017,0,0,0,0,0,4,100,1774,54.05070679,3281.640714,456,,,,,
Own Configuration,2022-01-01,2022-12-31,14C22L215460009,CONTAINR,35,3863,4,1.035464665,2.24196961,0,0,0,0,0,4,100,966,261.7214293,368.9992075,456,,,,,
Own Configuration,2022-02-01,2023-01-31,14C22L215460009,CONTAINR,35,4992,4,0.801282051,2.184666176,0,0,0,0,0,4,100,1248,179.7262966,694.3892038,456,,,,,
Own Configuration,2021-12-01,2022-11-30,14C22L215460009,CONTAINR,35,2711,4,1.475470306,2.109682608,0,0,0,0,0,4,100,678,677.75,100,456,,,,,
Own Configuration,2021-12-01,2022-11-30,14C22R215460009,CONTAINR,35,1671,3,1.795332136,2.567033012,0,0,0,0,0,3,100,557,557,100,455,,,,,
Own Configuration,2022-02-01,2023-01-31,14C22R215460009,CONTAINR,35,2415,3,1.242236025,2.890098112,0,0,0,0,0,3,100,805,341.2741987,235.8807092,455,,,,,
Own Configuration,2022-01-01,2022-12-31,14C22R215460009,CONTAINR,35,2055,3,1.459854015,2.872205254,0,0,0,0,0,3,100,685,372.098413,184.0910834,455,,,,,
