Group,Start,End,ATA,Description,Pireps,Maint.Def.,Cabin Def.,Sched.W/O,Total W/O,Pir.Rate,Pir.Rate UCL,Pir.Rate 12mth,Maint.Def.Rate,Maint.Def.Rate UCL,Maint.Def.Rate 12mth,Cabin Def.Rate,Cab.Def.Rate UCL,Cab.Def.Rate 12mth,Total U/S W/O Rate,Sched.W/O Rate
PAS A320 Fleet,2022-07-01,2022-07-31,21,AIR CONDITIONING,1,0,0,0,1,3.19,22.00,3.16,0.00,0.00,0.00,0.00,0.00,0.00,3.19,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,21,AIR CONDITIONING,0,2,0,0,2,0.00,22.00,3.16,4.85,4.25,0.40,0.00,0.00,0.00,4.85,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,21,AIR CONDITIONING,2,1,0,0,3,4.11,22.15,3.50,2.05,4.62,0.58,0.00,0.00,0.00,6.16,0.00
PAS A320 Fleet,2022-10-01,2022-10-31,21,AIR CONDITIONING,4,2,0,0,6,8.96,23.10,4.25,4.48,5.99,0.95,0.00,0.00,0.00,13.44,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,21,AIR CONDITIONING,2,0,0,0,2,5.26,23.18,4.69,0.00,5.99,0.95,0.00,0.00,0.00,5.26,0.00
PAS A320 Fleet,2022-12-01,2022-12-31,21,AIR CONDITIONING,1,0,0,0,1,1.80,23.07,4.84,0.00,5.99,0.95,0.00,0.00,0.00,1.80,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,21,AIR CONDITIONING,4,5,0,4,13,8.66,23.50,5.56,10.83,11.08,1.85,0.00,0.00,0.00,19.50,8.66
PAS A320 Fleet,2023-02-01,2023-02-28,21,AIR CONDITIONING,0,1,0,1,2,0.00,23.50,5.56,2.70,11.18,2.08,0.00,0.00,0.00,2.70,2.70
PAS A320 Fleet,2023-03-01,2023-03-31,21,AIR CONDITIONING,0,1,0,0,1,0.00,23.50,5.56,1.79,11.16,2.22,0.00,0.00,0.00,1.79,0.00
PAS A320 Fleet,2023-04-01,2023-04-30,21,AIR CONDITIONING,17,2,0,3,22,25.96,30.02,6.56,3.05,11.22,2.48,0.00,0.00,0.00,29.01,4.58
PAS A320 Fleet,2023-05-01,2023-05-31,21,AIR CONDITIONING,10,4,0,1,15,12.28,30.70,7.58,4.91,11.54,2.89,0.00,0.00,0.00,17.20,1.23
PAS A320 Fleet,2023-06-01,2023-06-30,21,AIR CONDITIONING,13,3,0,0,16,13.77,27.97,7.00,3.18,11.44,3.15,0.00,0.00,0.00,16.94,0.00
PAS A320 Fleet,2022-07-01,2022-07-31,22,AUTO FLIGHT,1,0,0,2,3,3.19,49.75,5.52,0.00,24.20,3.98,0.00,0.00,0.00,3.19,6.39
PAS A320 Fleet,2022-08-01,2022-08-31,22,AUTO FLIGHT,2,3,0,2,7,4.85,49.90,5.92,7.27,24.65,4.59,0.00,0.00,0.00,12.12,4.85
PAS A320 Fleet,2022-09-01,2022-09-30,22,AUTO FLIGHT,0,3,0,1,4,0.00,49.90,5.92,6.16,24.79,5.10,0.00,0.00,0.00,6.16,2.05
PAS A320 Fleet,2022-10-01,2022-10-31,22,AUTO FLIGHT,3,2,0,1,6,6.72,50.16,6.49,4.48,24.68,5.47,0.00,0.00,0.00,11.20,2.24
PAS A320 Fleet,2022-11-01,2022-11-30,22,AUTO FLIGHT,1,0,0,2,3,2.63,50.16,6.70,0.00,24.68,5.47,0.00,0.00,0.00,2.63,5.26
PAS A320 Fleet,2022-12-01,2022-12-31,22,AUTO FLIGHT,2,1,0,3,6,3.60,50.18,7.00,1.80,24.53,5.62,0.00,0.00,0.00,5.41,5.41
PAS A320 Fleet,2023-01-01,2023-01-31,22,AUTO FLIGHT,3,1,0,1,5,6.50,50.30,7.55,2.17,24.34,5.81,0.00,0.00,0.00,8.66,2.17
PAS A320 Fleet,2023-02-01,2023-02-28,22,AUTO FLIGHT,0,1,0,3,4,0.00,50.30,7.55,2.70,24.10,6.03,0.00,0.00,0.00,2.70,8.09
PAS A320 Fleet,2023-03-01,2023-03-31,22,AUTO FLIGHT,1,1,0,6,8,1.79,50.25,7.70,1.79,23.89,6.18,0.00,0.00,0.00,3.58,10.74
PAS A320 Fleet,2023-04-01,2023-04-30,22,AUTO FLIGHT,7,1,0,3,11,10.69,13.10,3.91,1.53,21.78,5.14,0.00,0.00,0.00,12.22,4.58
PAS A320 Fleet,2023-05-01,2023-05-31,22,AUTO FLIGHT,1,4,0,2,7,1.23,12.89,4.01,4.91,14.55,3.88,0.00,0.00,0.00,6.14,2.46
PAS A320 Fleet,2023-06-01,2023-06-30,22,AUTO FLIGHT,2,2,0,5,9,2.12,12.23,3.61,2.12,9.26,2.91,0.00,0.00,0.00,4.24,5.29
PAS A320 Fleet,2022-07-01,2022-07-31,23,COMMUNICATIONS,0,4,0,0,4,0.00,0.00,0.00,12.77,26.67,3.37,0.00,0.00,0.00,12.77,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,23,COMMUNICATIONS,1,3,0,0,4,2.42,2.13,0.20,7.27,27.27,3.97,0.00,0.00,0.00,9.70,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,23,COMMUNICATIONS,3,2,0,0,5,6.16,5.81,0.72,4.11,27.35,4.31,0.00,0.00,0.00,10.27,0.00
PAS A320 Fleet,2022-10-01,2022-10-31,23,COMMUNICATIONS,0,2,0,0,2,0.00,5.81,0.72,4.48,27.42,4.69,0.00,0.00,0.00,4.48,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,23,COMMUNICATIONS,1,0,0,0,1,2.63,6.20,0.93,0.00,27.42,4.69,0.00,0.00,0.00,2.63,0.00
PAS A320 Fleet,2022-12-01,2022-12-31,23,COMMUNICATIONS,3,1,0,0,4,5.41,7.64,1.39,1.80,27.36,4.84,0.00,0.00,0.00,7.21,0.00
PAS A320 Fleet,2023-01-01,2023-01-31,23,COMMUNICATIONS,2,0,0,0,2,4.33,8.29,1.75,0.00,27.36,4.84,0.00,0.00,0.00,4.33,0.00
PAS A320 Fleet,2023-02-01,2023-02-28,23,COMMUNICATIONS,0,2,2,3,7,0.00,8.29,1.75,5.39,27.42,5.29,5.39,4.73,0.45,10.78,8.09
PAS A320 Fleet,2023-03-01,2023-03-31,23,COMMUNICATIONS,1,0,0,1,2,1.79,8.26,1.90,0.00,27.42,5.29,0.00,4.73,0.45,1.79,1.79
PAS A320 Fleet,2023-04-01,2023-04-30,23,COMMUNICATIONS,1,2,0,1,4,1.53,8.18,2.02,3.05,27.30,5.54,0.00,4.73,0.45,4.58,1.53
PAS A320 Fleet,2023-06-01,2023-06-30,23,COMMUNICATIONS,0,3,1,4,8,0.00,8.18,2.02,3.18,13.90,3.50,1.06,4.82,0.54,4.24,4.24
PAS A320 Fleet,2022-07-01,2022-07-31,24,ELECTRICAL POWER,0,1,0,0,1,0.00,0.00,0.00,3.19,12.64,1.44,0.00,0.00,0.00,3.19,0.00
PAS A320 Fleet,2022-08-01,2022-08-31,24,ELECTRICAL POWER,1,0,0,0,1,2.42,2.13,0.20,0.00,12.64,1.44,0.00,0.00,0.00,2.42,0.00
PAS A320 Fleet,2022-09-01,2022-09-30,24,ELECTRICAL POWER,0,1,0,0,1,0.00,2.13,0.20,2.05,12.75,1.61,0.00,0.00,0.00,2.05,0.00
PAS A320 Fleet,2022-11-01,2022-11-30,24,ELECTRICAL POWER,0,2,0,4,6,0.00,2.13,0.20,5.26,13.44,2.05,0.00,0.00,0.00,5.26,10.53
PAS A320 Fleet,2022-12-01,2022-12-31,24,ELECTRICAL POWER,0,0,0,4,4,0.00,2.13,0.20,0.00,13.44,2.05,0.00,0.00,0.00,0.00,7.21
PAS A320 Fleet,2023-01-01,2023-01-31,24,ELECTRICAL POWER,0,2,0,5,7,0.00,2.13,0.20,4.33,13.79,2.41,0.00,0.00,0.00,4.33,10.83
